[牛丼短観][牛丼週報][時給観測]牛丼チェーン店アルバイト時給観測(牛丼短観) 20250927
20250927 現在、吉野家・松屋・すき家のアルバイト募集状況(日中、各店舗下限値。高校生時給・研修時給除く)は以下のとおりです。
|*Storetype|*求人中店舗数[件]|*上昇件数[件]|*下落件数[件]|*上昇-下落[件]|*新規件数[件]|*停止件数[件]|*新規-停止[件]|
|*吉野家| 1273 | 0 | 0 | 0 | 2 | 0 | 2 |
|*松屋| 1373 | 426 | 2 | 424 | 1 | 0 | 1 |
|*すき家| 1988 | 0 | 0 | 0 | 0 | 1 | -1 |
|*合計| 4634 | 426 | 2 | 424 | 3 | 1 | 2 |
<hr>
20250927 において、前回集計時( 20250920 )以降、日中求人時給が上昇した店舗は下記 426 件です。
|*Storetype|*都道府県|*上昇店舗名|* 20250927 時給[円]|* 20250920 時給[円]|*対先週差[円]
|松屋|東京都|松屋 両国店|1300|1250|50|
|松屋|東京都|松屋 練馬高野台店|1250|1200|50|
|松屋|東京都|松屋 練馬店|1250|1200|50|
|松屋|東京都|松軒中華食堂 狛江店|1226|1200|26|
|松屋|東京都|松軒中華食堂 豊田店|1226|1200|26|
|松屋|東京都|福松 三鷹店|1226|1200|26|
|松屋|兵庫県|松のや 権現湖PA(下り線)店|1200|1150|50|
|松屋|兵庫県|松屋 たつの店|1150|1100|50|
|松屋|兵庫県|松屋 フォーポイント フレックス by シェラトン 神戸三宮店|1180|1100|80|
|松屋|兵庫県|松屋 加古川平岡町店/マイカリー食堂 加古川平岡町店|1180|1150|30|
|松屋|兵庫県|松屋 加古川野口町店|1150|1100|50|
|松屋|兵庫県|松屋 権現湖PA(上り線)店|1200|1150|50|
|松屋|兵庫県|松屋 三木店|1150|1100|50|
|松屋|兵庫県|松屋 神戸伊川谷店/マイカリー食堂 神戸伊川谷店|1150|1100|50|
|松屋|兵庫県|松屋 神戸玉津店/松のや 神戸玉津店|1150|1100|50|
|松屋|兵庫県|松屋 神戸元町西口店|1150|1100|50|
|松屋|兵庫県|松屋 神戸元町東口店|1150|1100|50|
|松屋|兵庫県|松屋 神戸三田駅前町店|1150|1100|50|
|松屋|兵庫県|松屋 神戸新開地店/松のや 神戸新開地店|1180|1100|80|
|松屋|兵庫県|松屋 神戸有野店/松のや 神戸有野店|1180|1100|80|
|松屋|兵庫県|松屋 垂水店|1150|1100|50|
|松屋|兵庫県|松屋 播磨町店|1150|1100|50|
|松屋|兵庫県|松屋 白鳥PA（下り線）店|1180|1150|30|
|松屋|兵庫県|松屋 姫路駅南大路通店|1180|1150|30|
|松屋|兵庫県|松屋 姫路花田店|1150|1100|50|
|松屋|兵庫県|松屋 姫路飾磨店|1150|1100|50|
|松屋|兵庫県|松屋 姫路大手前通店|1180|1150|30|
|松屋|兵庫県|松屋 鈴蘭台店|1150|1100|50|
<hr>
20250927 において、前回集計時( 20250920 )以降、日中求人時給が下落した店舗は下記 2 件です。
|*Storetype|*都道府県|*下落店舗名|* 20250927 時給[円]|* 20250920 時給[円]|*対先週差[円]
|松屋|神奈川|松のや 鶴見東口店|1250|1300|-50|
|松屋|千葉県|松屋 柏青葉台店/松のや 柏青葉台店|1200|1250|-50|
<hr>
20250927 において、前回集計時( 20250920 )以降日中求人を開始した店舗は下記 3 件です。
|*Storetype|*都道府県|*新規求人店舗名|*時給[円]|
|吉野家|愛知県|吉野家 東岡崎駅前店|1150|
|吉野家|奈良県|吉野家 169号線奈良古市店|1200|
|松屋|東京都|松のや 本蓮沼店|1250|
<hr>
20250927 において、前回集計時( 20250920 )以降日中求人を停止した店舗は下記 1 件です。
|*Storetype|*都道府県|*求人停止店舗名|停止前時給[円]
|すき家|群馬県|すき家 藤岡IC店|1150|
<hr>
<br>
<hr>
時系列での各店舗時給上昇件数(対4週前比)は下記の通りです。
※吉：吉野家、松：松屋、す：すき家、↑：上昇、↓：下落
|*Date|*吉↑|*松↑|*す↑|*上昇計|*吉↓|*松↓|*す↓|*下落計|
|20250927|55|642|2|699|0|2|0|2|
|20250830|43|86|0|129|0|1|0|1|
|20250802|20|2|20|42|0|0|0|0|
|20250705|8|5|48|61|0|0|1|1|
|20250607|0|10|1|11|1|10|0|11|
|20250510|4|22|60|86|1|9|0|10|
|20250412|93|63|1|157|0|25|0|25|
|20250315|376|75|655|1106|1|0|0|1|
|20250215|4|23|0|27|0|4|1|5|
|20250118|37|2|1|40|1|2|1|4|
|20241221|3|2|0|5|0|0|3|3|
|20241123|10|7|0|17|0|0|0|0|
|20241026|64|80|302|446|1|1|0|2|
|20240928|274|351|801|1426|1|12|1|14|
|20240831|105|62|0|167|0|12|0|12|
|20240803|0|12|30|42|0|32|0|32|
|20240706|7|3|64|74|1|7|0|8|
|20240608|6|5|127|138|6|1|0|7|
|20240511|22|67|2|91|15|1|0|16|
|20240413|103|192|0|295|4|14|1|19|
|20240316|517|23|402|942|5|1|0|6|
|20240217|82|83|224|389|5|14|3|22|
|20240120|21|22|0|43|2|10|0|12|
|20231223|19|26|28|73|7|18|0|25|
|20231125|10|68|3|81|5|11|0|16|
|20231028|9|63|0|72|2|4|0|6|
|20230930|144|335|1177|1656|12|80|1|93|
|20230902|230|1|5|236|1|64|0|65|
|20230805|37|10|0|47|7|6|1|14|
|20230708|23|15|17|55|8|9|0|17|
|20230610|52|15|57|124|5|0|4|9|
|20230513|111|31|3|145|4|0|1|5|
|20230415|7|110|13|130|5|0|6|11|
|20230318|478|89|36|603|2|1|14|17|
|20230218|36|431|208|675|2|3|0|5|
|20230121|4|141|43|188|3|0|1|4|
|20221224|11|58|2|71|5|0|0|5|
|20221126|1|36|0|37|4|0|0|4|
|20221029|10|33|306|349|5|0|3|8|
|20221001|198|267|13|478|4|9|0|13|
|20220903|74|52|81|207|5|0|0|5|
|20220806|19|40|73|132|1|0|1|2|
|20220709|30|37|1|68|0|0|0|0|
|20220611|32|204|23|259|4|0|0|4|
|20220514|12|123|1|136|2|0|0|2|
|20220416|35|67|1|103|0|1|0|1|
|20220319|117|52|0|169|4|0|0|4|
|20220219|238|69|1340|1647|3|0|0|3|
|20220122|29|86|0|115|1|2|0|3|
|20211225|55|238|6|299|3|3|0|6|
|20211127|0|72|0|72|0|1|0|1|
|20211030|10|0|0|10|47|0|0|47|
|20211002|135|0|249|384|3|0|0|3|
|20210904|0|51|0|51|0|0|0|0|
|20210807|2|38|0|40|2|0|0|2|
|20210710|6|2|0|8|0|0|0|0|
|20210612|23|6|0|29|0|0|0|0|
|20210515|12|3|0|15|3|5|0|8|
|20210417|11|0|1|12|0|2|5|7|
|20210320|17|4|0|21|0|30|0|30|
|20210220|0|0|20|20|0|5|0|5|
<hr>
データ元：
 -松屋:バイトル(時間：「朝」,給与区分：「時給」) http://www.matswork.biz/op182246/alist/tst2_stp4/ 
 -吉野家：吉野家公式サイト(時間「朝」,雇用形態「アルバイト・パート」)」 https://www.yoshinoya.com/baito/op71872/alist/tst2_btp1/ 
 -すき家：すき家公式サイト(検索ワード:"-") http://jobs.sukiya.jp/shops?k=-&page=1 

データは下記リンク先の通りです。 
 吉野家：
 https://raw.githubusercontent.com/tacmasi/gyudon/master/withaddress/yoshinoya/data/detail.csv 
 松屋：
 https://raw.githubusercontent.com/tacmasi/gyudon/master/withaddress/matsuya/data/detail.csv 
 すき家：
 https://raw.githubusercontent.com/tacmasi/gyudon/master/withaddress/sukiya/data/detail.csv 

